ISBN,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780241324752,Margaret Thatcher,Charles Moore,ePUB,19.99,19.99,241324750,2019-10-03,Penguin Books Ltd,880
9780755350704,Dangerous Lady,Martina Cole,ePUB,11.99,11.99,755350707,2008-09-04,Headline,576
9780241339732,The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,ePUB,1.99,1.99,241339731,2018-05-31,Penguin Books Ltd,64
9780571340309,Lanny,Max Porter,ePUB,16.49,14.99,057134030X,2019-03-05,Faber & Faber,224
9780141930015,The Help,Kathryn Stockett,ePUB,15.99,15.99,141930012,2009-07-23,Penguin Books Ltd,464
9781405514972,The Silkworm,Robert Galbraith,ePUB,12.99,12.99,1405514973,2014-06-19,"Little, Brown Book Group",464
9780393712384,The Polyvagal Theory in Therapy,Deb Dana,ePUB,51.34,41.99,393712389,2018-06-12,W. W. Norton & Company,
9780241984000,The Last,Hanna Jameson,ePUB,15.99,15.99,241984009,2019-01-24,Penguin Books Ltd,352
9780356511115,Fallen,Benedict Jacka,ePUB,11.99,11.99,356511111,2019-10-10,"Little, Brown Book Group",384
9780141966731,Can't Anyone Help Me?,Toni Maguire,ePUB,14.99,14.99,141966734,2011-07-07,Penguin Books Ltd,288
9780755387359,Violets are Blue,James Patterson,ePUB,12.99,12.99,075538735X,2011-06-23,Headline,335
9780748130467,The Notebook,Nicholas Sparks,ePUB,11.99,11.99,748130462,2011-04-07,"Little, Brown Book Group",224
9781405918770,The Break,Marian Keyes,ePUB,15.99,15.99,1405918772,2017-09-07,Penguin Books Ltd,400
9780761148425,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,ePUB,19.99,19.99,761148426,2008-07-02,Workman Publishing Company,203
9780718196370,Trinity,Conn Iggulden,ePUB,14.99,14.99,718196376,2014-09-25,Penguin Books Ltd,432
9780753551370,Alchemy,Rory Sutherland,ePUB,18.99,18.99,753551373,2019-05-07,Ebury Publishing,384
9780755387069,2nd Chance,James Patterson,ePUB,12.99,12.99,755387066,2011-06-23,Headline,340
9781401919269,The Law of Attraction,Esther Hicks,ePUB,18.34,14.99,140191926X,2006-10-01,Hay House,194
9781405511988,Legend,David Gemmell,ePUB,11.99,11.99,1405511982,2011-12-01,"Little, Brown Book Group",432
9780743499965,Star Trek,Vonda N. McIntyre,ePUB,23.99,23.99,743499964,2004-10-26,Pocket Books/Star Trek,464
9780748115365,The Dragon Reborn,Robert Jordan,ePUB,12.99,12.99,748115366,2009-12-15,"Little, Brown Book Group",704
9780241145531,The Old Ways,Robert Macfarlane,ePUB,15.99,15.99,241145538,2012-06-07,Penguin Books Ltd,448
9780743493529,Holly,Jude Deveraux,ePUB,6.99,6.99,743493524,2003-11-10,Pocket Books,288
9780755385744,The Misfit,Rosie Goodwin,ePUB,11.99,11.99,755385748,2012-05-10,Headline,313
9780241967454,Last Man Off,Matt Lewis,ePUB,16.99,16.99,241967457,2014-07-10,Penguin Books Ltd,256
9781370393756,"Oaths (Dragon Blood, Book 8)",Lindsay Buroker,ePUB,6.87,6.87,137039375X,2018-04-24,Lindsay Buroker,
9780356511511,The Gutter Prayer,Gareth Hanrahan,ePUB,12.99,12.99,356511510,2019-01-15,"Little, Brown Book Group",544
9780356512280,The Last Astronaut,David Wellington,ePUB,12.99,12.99,356512282,2019-07-23,"Little, Brown Book Group",384
9780141971568,The Diary of a Killer Cat,Anne Fine,ePUB,9.99,9.99,141971568,2011-03-03,Penguin Random House Children's UK,64
9781250207814,The Mage-Fire War,L. E. Modesitt Jr.,ePUB,16.2,12.99,1250207819,2019-08-13,Tor Publishing Group,
9781407005355,Cross Country,James Patterson,ePUB,15.99,15.99,1407005359,2008-11-06,Random House,432
9780755377770,The Thread,Victoria Hislop,ePUB,11.99,11.99,075537777X,2011-10-27,Headline,360
9781101533116,The Bride,Julie Garwood,ePUB,17.14,13.99,1101533110,2011-06-07,Penguin Publishing Group,1
9780241978719,The Cut Out Girl,Bart van Es,ePUB,15.99,15.99,241978718,2018-08-02,Penguin Books Ltd,256
9780141929453,Matilda,Roald Dahl,ePUB,9.99,9.99,141929456,2003-03-06,Penguin Random House Children's UK,256
9780241978870,Three Daughters of Eve,Elif Shafak,ePUB,15.99,15.99,241978874,2017-02-02,Penguin Books Ltd,368
9781407034379,The Colour Of Magic,Terry Pratchett,ePUB,15.99,15.99,1407034375,2008-12-26,Transworld,288
9780307426758,Astrology for the Soul,Jan Spiller,ePUB,25.7,20.99,307426750,2009-11-04,Random House Publishing Group,
9780007327645,"Dead Beat (PI Kate Brannigan, Book 1)",Val McDermid,ePUB,12.99,12.99,7327641,2009-05-22,HarperCollins Publishers,288
9780141917672,Stolen,Lesley Pearse,ePUB,15.99,15.99,141917679,2010-01-28,Penguin Books Ltd,496
9780857077295,Missing Me,Sophie McKenzie,ePUB,10.99,10.99,857077295,2012-09-13,Simon & Schuster UK,304
9780241982419,My Family and Other Animals,Gerald Durrell,ePUB,14.99,14.99,241982413,2017-04-20,Penguin Books Ltd,320
9781101032343,The Forgotten 500,Gregory A. Freeman,ePUB,23.99,19.99,1101032340,2008-09-02,Penguin Publishing Group,336
9780755371549,Hard Girls,Martina Cole,ePUB,11.99,11.99,755371542,2009-10-29,Headline,300
9780141930237,Fooled by Randomness,Nassim Nicholas Taleb,ePUB,15.99,15.99,141930233,2007-05-03,Penguin Books Ltd,368
9780141904160,The Closed Circle,Jonathan Coe,ePUB,15.99,15.99,014190416X,2008-05-19,Penguin Books Ltd,448
9780648324652,Demon's Dance,Keri Arthur,ePUB,6.99,6.99,648324656,2019-02-12,KA Publishing PTY LTD,
9780571328505,Secrets of a Sun King,Emma Carroll,ePUB,10.99,9.99,571328504,2018-07-31,Faber & Faber,304
9780671036904,Iron Lake (20th Anniversary Edition),William Kent Krueger,ePUB,14.99,14.99,671036904,2000-01-01,Atria Books,336
